,Bangladesh,South Africa,Qatar,Germany
1990,41.96,53.12,196.78,49.9
1991,40.37,53.86,202.79,47.9
1992,41.43,57.35,207.37,45.55
1993,42.94,55.59,209.61,44.19
1994,43.71,58.82,177.66,42.08
1995,45.8,60.01,157.82,40.06
1996,46.68,64.52,186.79,37.98
1997,47.98,73.53,204.18,35.55
1998,49.78,74.56,207.06,33.28
1999,51.87,72.86,201.8,31
2000,53.46,74.63,186.92,28.87
2001,53.66,73.23,181.38,27.18
2002,55.06,72.78,184.74,26.49
2003,57.25,72.87,183.49,25.47
2004,57.62,71.88,175.41,23.7
2005,58.82,72.02,175.09,22.55
2006,60.69,74.32,182.37,22.03
2007,61.99,74.69,184.5,22.01
2008,61.52,75.92,178.5,22
2009,61.15,76.77,172.39,21.97
2010,62.81,76.71,164.29,21.51
2011,60.02,75.1,156.4,20.66
2012,58.91,73.46,150.76,19.49
2013,61.45,72.46,147.89,18.31
2014,65.31,72.59,148.32,16.75
2015,64.65,72.67,154.51,16.08
2016,64.3,71.51,149.68,15.12
2017,66.94,69.65,144.9,14.32
2018,68.34,64.27,137.62,14.21
2019,70.63,61.54,132.73,14.1
