,Bangladesh,South Africa,Qatar,Germany
2000,0,23.42,0,49.2
2001,0,23.52,0,60.71
2002,0,23.54,0,61.28
2003,0,23.54,0,61.94
2004,0,23.54,0,69.77
2005,0,27.05,0,70.22
2006,0,27.05,0,72.87
2007,0,27.05,0,74.7
2008,0,27.05,0,77.11
2009,0,27.05,0,77.56
2010,0,27.17,0,77.63
2011,0,27.17,0,77.85
2012,0,30.39,0,77.85
2013,0,30.43,0,77.91
2014,0,32.27,0,77.99
2015,0,32.32,0,78.14
2016,0,32.37,0,78.16
2017,0,32.63,0,78.42
2018,0,35.52,0,79.31
2019,0,35.71,0,79.31
2020,0,35.72,0,79.31
2021,0,35.73,0,79.31
