Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,17887.78687,,,,,15681.66038,,,,,13668.41149,,,,,11750.43802,,,,,10072.13636,,,,,8719.4182,,,,,7579.28124,,,,,5792.896496,,,,,5095.339082,,,,,4470.264436,,,,,3626.855554,,,,,3169.935163,3087.622821,,,
Afghanistan,AFG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5042.003148,,,,,4533.681746,,,,,3998.737366,,,,,3579.754578,,,,,3659.998767,,,,,4063.065673,,,,,3254.969455,,,,,2435.795479,,,,,2086.211738,,,,,1739.817602,,,,,1513.090981,,,,,1299.037244,1268.430511,,,
Africa Western and Central,AFW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,18888.64214,,,,,16920.75338,,,,,15040.90106,,,,,13218.88764,,,,,11527.37094,,,,,10051.64613,,,,,8790.03585,,,,,7698.029814,,,,,6735.819242,,,,,5882.227982,,,,,5127.551129,,,,,4479.883695,4361.929784,,,
Angola,AGO,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,26388.52213,,,,,25630.19098,,,,,23683.92206,,,,,19644.76426,,,,,16530.82535,,,,,13845.68997,,,,,11692.80073,,,,,9951.873279,,,,,8447.769212,,,,,7079.524103,,,,,5894.553214,,,,,4963.649817,4803.668393,,,
Albania,ALB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,15718.86948,,,,,13685.40261,,,,,11992.19304,,,,,10702.01222,,,,,9661.391571,,,,,8723.555708,,,,,8284.470867,,,,,8544.345311,,,,,8816.752485,,,,,9057.187215,,,,,9274.579618,,,,,9361.54604,9384.672492,,,
Andorra,AND,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,20521.49034,,,,,15202.31214,,,,,11738.88786,,,,,9631.05374,,,,,8068.515915,,,,,6512.722095,,,,,5359.872287,,,,,4906.868995,,,,,4505.481955,,,,,3817.033937,,,,,3828.842491,,,,,4098.860995,4098.275504,,,
Arab World,ARB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1208.615449,,,,,1052.693436,,,,,917.8899936,,,,,793.125812,,,,,676.904243,,,,,584.2900054,,,,,514.9007675,,,,,454.3619434,,,,,409.0007139,,,,,365.1124474,,,,,303.6256622,,,,,273.7710021,268.613709,,,
United Arab Emirates,ARE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1337.947767,,,,,883.558739,,,,,453.2160209,,,,,203.9853294,,,,,128.7757036,,,,,97.81379644,,,,,73.06765285,,,,,56.15115291,,,,,43.1187009,,,,,24.31573101,,,,,16.40850976,,,,,15.81076663,15.57476166,,,
Argentina,ARG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,13804.16112,,,,,12790.82033,,,,,11844.31764,,,,,10952.16428,,,,,10140.8079,,,,,9363.652884,,,,,8708.795764,,,,,8189.034781,,,,,7749.110756,,,,,7358.07304,,,,,6996.815562,,,,,6629.611829,6562.608567,,,
